--------- beginning of /dev/log/system
01-01 00:00:10.639 I/Vold    (  104): Vold 2.1 (the revenge) firing up
01-01 00:00:10.649 D/Vold    (  104): Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:10.649 D/Vold    (  104): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:20.149 I/SystemServer(  491): Entered the Android system server!
01-01 00:30:44.689 D/KeyguardViewMediator(  551): setHidden false
01-01 00:30:44.689 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:30:44.689 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:30:45.309 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:30:45.309 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:30:46.019 D/KeyguardViewMediator(  551): setHidden false
01-01 00:30:46.019 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:30:46.019 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Control interface command 'SCAN'
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Setting scan request: 0.000000 sec
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: State: INACTIVE -> SCANNING
01-01 00:30:46.599 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Starting AP scan for wildcard SSID
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS: Building WPS IE for Probe Request
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Version (hardcoded 0x10)
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Request Type
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Config Methods (4288)
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * UUID-E
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Primary Device Type
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * RF Bands (1)
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Association State
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Configuration Error (0)
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Device Password ID (0)
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Manufacturer
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Model Name
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Model Number
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Device Name
01-01 00:30:46.599 D/wpa_supplicant(  540): WPS:  * Version2 (0x20)
01-01 00:30:46.599 D/wpa_supplicant(  540): P2P: * P2P IE header
01-01 00:30:46.599 D/wpa_supplicant(  540): P2P: * Capability dev=25 group=00
01-01 00:30:46.599 D/wpa_supplicant(  540): P2P: * Listen Channel: Regulatory Class 81 Channel 11
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Add radio work 'scan'@0xb7f1f900
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: First radio work item in the queue - schedule start immediately
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Starting radio work 'scan'@0xb7f1f900 after 0.000069 second wait
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: nl80211: scan request
01-01 00:30:46.599 D/wpa_supplicant(  540): Scan requested (ret=0) - scan timeout 30 seconds
01-01 00:30:46.599 D/wpa_supplicant(  540): nl80211: Drv Event 33 (NL80211_CMD_TRIGGER_SCAN) received for wlan0
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: nl80211: Scan trigger
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Event SCAN_STARTED (49) received
01-01 00:30:46.599 D/wpa_supplicant(  540): wlan0: Own scan request started a scan in 0.000192 seconds
01-01 00:30:46.599 I/wpa_supplicant(  540): wlan0: CTRL-EVENT-SCAN-STARTED 
01-01 00:30:46.599 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:46.599 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Drv Event 34 (NL80211_CMD_NEW_SCAN_RESULTS) received for wlan0
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: nl80211: New scan results available
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Scan probed for SSID ''
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Event SCAN_RESULTS (3) received
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Scan completed in 0.624236 seconds
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Received scan results (11 BSSes)
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: BSS: Start scan result update 127
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: BSS: Add new id 84 BSSID 00:1a:1e:55:e5:60 SSID '555-0143'
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: BSS: Add new id 85 BSSID 00:1a:1e:55:e5:62 SSID 'synopsys-guest'
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): BSS: last_scan_res_used=11/32
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: New scan results available (own=1 ext=0)
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:30:47.229 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Radio work 'scan'@0xb7f1f900 done in 0.628125 seconds
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: No suitable network found
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Short-circuit new scan request since there are no enabled networks
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: State: SCANNING -> INACTIVE
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: Add operating class 81
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: Update channel list
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: cli_channels:
01-01 00:30:47.229 D/wpa_supplicant(  540): P2P: indoor_channels:
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Determining shared radio frequencies (max len 1)
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Shared frequencies (len=0): completed iteration
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: Updating scan results from sibling
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Received scan results (11 BSSes)
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: BSS: Start scan result update 127
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: BSS: Add new id 84 BSSID 00:1a:1e:55:e5:60 SSID '555-0143'
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: BSS: Add new id 85 BSSID 00:1a:1e:55:e5:62 SSID 'synopsys-guest'
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): BSS: last_scan_res_used=11/32
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: New scan results available (own=0 ext=0)
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:30:47.229 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:30:47.229 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:30:47.229 D/wpa_supplicant(  540): p2p0: No suitable network found
01-01 00:30:47.229 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:30:47.229 D/wpa_supplicant(  540): wlan0: Control interface command 'BSS RANGE=0- MASK=0x21987'
01-01 00:30:47.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:30:47.919 D/KeyguardViewMediator(  551): setHidden false
01-01 00:30:47.919 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:30:47.919 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:30:50.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:30:53.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:30:53.339 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:30:53.349 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:30:54.019 D/KeyguardViewMediator(  551): setHidden false
01-01 00:30:54.019 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:30:54.019 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:30:56.319 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:30:57.289 I/ActivityManager(  491): Killing 1111:com.google.android.onetimeinitializer/u0a10 (adj 15): empty for 1803s
01-01 00:30:57.469 I/ActivityManager(  491): Killing 970:com.google.android.partnersetup/u0a11 (adj 15): empty for 1800s
01-01 00:30:57.649 I/ActivityManager(  491): Killing 1244:com.android.voicedialer/u0a22 (adj 15): empty for 1800s
01-01 00:30:59.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:30:59.999 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.TIME_TICK
01-01 00:30:59.999 D/KeyguardUpdateMonitor(  551): handleTimeUpdate
01-01 00:31:00.079 D/KeyguardViewMediator(  551): setHidden false
01-01 00:31:00.079 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:31:00.079 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Control interface command 'SCAN'
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Setting scan request: 0.000000 sec
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: State: INACTIVE -> SCANNING
01-01 00:31:01.619 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Starting AP scan for wildcard SSID
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS: Building WPS IE for Probe Request
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Version (hardcoded 0x10)
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Request Type
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Config Methods (4288)
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * UUID-E
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Primary Device Type
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * RF Bands (1)
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Association State
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Configuration Error (0)
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Device Password ID (0)
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Manufacturer
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Model Name
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Model Number
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Device Name
01-01 00:31:01.619 D/wpa_supplicant(  540): WPS:  * Version2 (0x20)
01-01 00:31:01.619 D/wpa_supplicant(  540): P2P: * P2P IE header
01-01 00:31:01.619 D/wpa_supplicant(  540): P2P: * Capability dev=25 group=00
01-01 00:31:01.619 D/wpa_supplicant(  540): P2P: * Listen Channel: Regulatory Class 81 Channel 11
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Add radio work 'scan'@0xb7f1f378
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: First radio work item in the queue - schedule start immediately
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Starting radio work 'scan'@0xb7f1f378 after 0.000072 second wait
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: nl80211: scan request
01-01 00:31:01.619 D/wpa_supplicant(  540): Scan requested (ret=0) - scan timeout 30 seconds
01-01 00:31:01.619 D/wpa_supplicant(  540): nl80211: Drv Event 33 (NL80211_CMD_TRIGGER_SCAN) received for wlan0
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: nl80211: Scan trigger
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Event SCAN_STARTED (49) received
01-01 00:31:01.619 D/wpa_supplicant(  540): wlan0: Own scan request started a scan in 0.000189 seconds
01-01 00:31:01.619 I/wpa_supplicant(  540): wlan0: CTRL-EVENT-SCAN-STARTED 
01-01 00:31:01.619 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:01.619 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Drv Event 34 (NL80211_CMD_NEW_SCAN_RESULTS) received for wlan0
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: nl80211: New scan results available
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Scan probed for SSID ''
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Event SCAN_RESULTS (3) received
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Scan completed in 0.637534 seconds
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Received scan results (12 BSSes)
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: BSS: Start scan result update 128
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: BSS: Remove id 82 BSSID 02:09:4c:75:15:9d SSID 'DIRECT-' due to no match in scan
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): BSS: last_scan_res_used=12/32
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: New scan results available (own=1 ext=0)
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:02.249 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Radio work 'scan'@0xb7f1f378 done in 0.641088 seconds
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: No suitable network found
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Short-circuit new scan request since there are no enabled networks
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: State: SCANNING -> INACTIVE
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: Add operating class 81
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: Update channel list
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: cli_channels:
01-01 00:31:02.249 D/wpa_supplicant(  540): P2P: indoor_channels:
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Determining shared radio frequencies (max len 1)
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Shared frequencies (len=0): completed iteration
01-01 00:31:02.249 D/wpa_supplicant(  540): p2p0: Updating scan results from sibling
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Received scan results (12 BSSes)
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:31:02.249 D/wpa_supplicant(  540): p2p0: BSS: Start scan result update 128
01-01 00:31:02.249 D/wpa_supplicant(  540): p2p0: BSS: Remove id 82 BSSID 02:09:4c:75:15:9d SSID 'DIRECT-' due to no match in scan
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): BSS: last_scan_res_used=12/32
01-01 00:31:02.249 D/wpa_supplicant(  540): p2p0: New scan results available (own=0 ext=0)
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:02.249 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:02.249 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:02.249 D/wpa_supplicant(  540): p2p0: No suitable network found
01-01 00:31:02.249 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:31:02.249 D/wpa_supplicant(  540): wlan0: Control interface command 'BSS RANGE=0- MASK=0x21987'
01-01 00:31:02.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:31:03.389 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:31:03.389 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:31:05.309 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:31:06.959 W/AudioFlinger(  112): RecordThread: buffer overflow
01-01 00:31:06.959 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:31:08.319 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:31:09.919 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:31:09.919 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:31:10.249 D/KeyguardViewMediator(  551): setHidden false
01-01 00:31:10.249 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:31:10.249 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:31:11.319 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:31:13.459 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:31:13.459 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:31:14.319 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: Control interface command 'SCAN'
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: Setting scan request: 0.000000 sec
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: State: INACTIVE -> SCANNING
01-01 00:31:16.619 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: Starting AP scan for wildcard SSID
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS: Building WPS IE for Probe Request
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Version (hardcoded 0x10)
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Request Type
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Config Methods (4288)
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * UUID-E
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Primary Device Type
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * RF Bands (1)
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Association State
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Configuration Error (0)
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Device Password ID (0)
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Manufacturer
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Model Name
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Model Number
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Device Name
01-01 00:31:16.619 D/wpa_supplicant(  540): WPS:  * Version2 (0x20)
01-01 00:31:16.619 D/wpa_supplicant(  540): P2P: * P2P IE header
01-01 00:31:16.619 D/wpa_supplicant(  540): P2P: * Capability dev=25 group=00
01-01 00:31:16.619 D/wpa_supplicant(  540): P2P: * Listen Channel: Regulatory Class 81 Channel 11
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: Add radio work 'scan'@0xb7f1f378
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: First radio work item in the queue - schedule start immediately
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: Starting radio work 'scan'@0xb7f1f378 after 0.000073 second wait
01-01 00:31:16.619 D/wpa_supplicant(  540): wlan0: nl80211: scan request
01-01 00:31:16.659 D/wpa_supplicant(  540): Scan requested (ret=0) - scan timeout 30 seconds
01-01 00:31:16.659 D/wpa_supplicant(  540): nl80211: Drv Event 33 (NL80211_CMD_TRIGGER_SCAN) received for wlan0
01-01 00:31:16.659 D/wpa_supplicant(  540): wlan0: nl80211: Scan trigger
01-01 00:31:16.659 D/wpa_supplicant(  540): wlan0: Event SCAN_STARTED (49) received
01-01 00:31:16.659 D/wpa_supplicant(  540): wlan0: Own scan request started a scan in 0.000181 seconds
01-01 00:31:16.659 I/wpa_supplicant(  540): wlan0: CTRL-EVENT-SCAN-STARTED 
01-01 00:31:16.659 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:16.659 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:31:17.299 D/wpa_supplicant(  540): nl80211: Drv Event 34 (NL80211_CMD_NEW_SCAN_RESULTS) received for wlan0
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: nl80211: New scan results available
01-01 00:31:17.299 D/wpa_supplicant(  540): nl80211: Scan probed for SSID ''
01-01 00:31:17.299 D/wpa_supplicant(  540): nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: Event SCAN_RESULTS (3) received
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: Scan completed in 0.640350 seconds
01-01 00:31:17.299 D/wpa_supplicant(  540): nl80211: Received scan results (10 BSSes)
01-01 00:31:17.299 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: BSS: Start scan result update 129
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: BSS: Add new id 86 BSSID 00:1a:1e:55:e5:61 SSID ''
01-01 00:31:17.299 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:17.299 D/wpa_supplicant(  540): BSS: last_scan_res_used=10/32
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: New scan results available (own=1 ext=0)
01-01 00:31:17.299 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:17.299 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:31:17.299 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:17.299 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: Radio work 'scan'@0xb7f1f378 done in 0.672641 seconds
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: No suitable network found
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
01-01 00:31:17.299 D/wpa_supplicant(  540): wlan0: Short-circuit new scan request since there are no enabled networks
